#,Simulation (title),Play URL (jsfiddle),Collection,Description
1,Before Quantum Erazer,https://jsfiddle.net/Chenopdodium/6rokn7ts/show/,"Bell, Entanglement & Eraser",Delayed-choice sorting (I) | Quantum eraser (extra views) 1
2,Bell Experiment,https://jsfiddle.net/Chenopdodium/v4yc96nt/show/,"Bell, Entanglement & Eraser",Bell Experiment | Detection loophole
3,Bell Models,https://jsfiddle.net/Chenopdodium/1m6a0cgr/show/,"Bell, Entanglement & Eraser",Three models
4,Bell Test Correlation and Detection Fraction,https://jsfiddle.net/Chenopdodium/c6jbarv5/show/,"Bell, Entanglement & Eraser",Bell Test Correlation and Detection Fraction | Efficiency sensitivity
5,Bell-CHSH Simulation (Faithful JS Port from Pierre Leroy),https://jsfiddle.net/Chenopdodium/mceLur1k/show/,"Bell, Entanglement & Eraser",Bell-CHSH Simulation (Faithful JS Port from Pierre Leroy) | Experiment model without entanglement
6,Bell: Time Window Loophole,https://jsfiddle.net/Chenopdodium/83b95zmu/show/,"Bell, Entanglement & Eraser",Bell: Time Window Loophole | Time-window effect (1)
7,Chaotic Ball Game (EPR),https://jsfiddle.net/Chenopdodium/c7xj12uy/show/,"Bell, Entanglement & Eraser",Basic Bell setup | Chaotic Ball Game (EPR)
8,Correlation E vs Angle Difference,https://jsfiddle.net/Chenopdodium/3on2qxja/show/,"Bell, Entanglement & Eraser",CHSH | Correlation E vs Angle Difference
9,Detecting photons,https://jsfiddle.net/Chenopdodium/zf3tgkxj/show/,"Bell, Entanglement & Eraser",Detecting photons | Detecting photons (clicks)
10,"Double Slit, Which Path",https://jsfiddle.net/Chenopdodium/sr57vd02/show/,"Bell, Entanglement & Eraser","Double Slit, Which Path | Double slit + which-path | Double slit/which path | Quantum eraser (waves)"
11,Eberhard (J) Fixed Time windows,https://jsfiddle.net/Chenopdodium/sj1myng7/show/,"Bell, Entanglement & Eraser",Time-window effect (2)
12,Eberhard Mechanism,https://jsfiddle.net/Chenopdodium/x923dnvw/show/,"Bell, Entanglement & Eraser",Eberhard inequality (1)
13,"Eberhard Mechanism (""Tax"")",https://jsfiddle.net/Chenopdodium/7uoa3cs4/show/,"Bell, Entanglement & Eraser","Eberhard Mechanism (""Tax"") | Eberhard inequality (2)"
14,Mach Zehnder Interference,https://jsfiddle.net/Chenopdodium/597gbxLz/show/,"Bell, Entanglement & Eraser",Interference + beam splitter intuition | Mach Zehnder Interference
15,Malus Law,https://jsfiddle.net/Chenopdodium/9p1f8bkw/show/,"Bell, Entanglement & Eraser",Malus Law | Malus law
16,Malus Law with Polarizers,https://jsfiddle.net/Chenopdodium/8vhqL243/show/,"Bell, Entanglement & Eraser",Malus Law with Polarizers | Polarizers (Malus)
17,Non-Entangled CHSH test,https://jsfiddle.net/Chenopdodium/oq9xt2bd/show/,"Bell, Entanglement & Eraser",QM-looking results without entanglement
18,Orthogonal: different frequencies,https://jsfiddle.net/Chenopdodium/s59cauzm/show/,"Bell, Entanglement & Eraser",Orthogonal: different frequencies | Orthogonality (frequency tagging)
19,Polarizer magic,https://jsfiddle.net/Chenopdodium/739tg6jx/show/,"Bell, Entanglement & Eraser",Polarizer magic | Three polarizers (projection demo)
20,Quantum Erazer (V) (improve it),https://jsfiddle.net/Chenopdodium/os79yz3e/show/,"Bell, Entanglement & Eraser",Delayed-choice sorting (II) | Quantum Erazer (V) (improve it) | Quantum eraser (extra views) 2
21,Quantum Erazer Optmized (VI),https://jsfiddle.net/Chenopdodium/kaswqxvf/show/,"Bell, Entanglement & Eraser",Quantum Erazer Optmized (VI) | Quantum eraser (waves)
